Time,Jablonna,Legionowo,ResidentialOut,ResidentialIn,MixedOut,MixedIn,RetailResIn,RetailResOut
00:00,0.004,0.008,0.005,0.005,0.005,0.005,0.005,0.005
01:00,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005
02:00,0.002,0.003,0.005,0.005,0.005,0.005,0.005,0.005
03:00,0.004,0.003,0.005,0.005,0.005,0.005,0.005,0.005
04:00,0.012,0.004,0.005,0.005,0.005,0.005,0.005,0.005
05:00,0.05,0.01,0.03,0.01,0.02,0.01,0.01,0.01
06:00,0.091,0.032,0.11,0.03,0.09,0.02,0.02,0.02
07:00,0.088,0.045,0.18,0.06,0.12,0.03,0.03,0.03
08:00,0.078,0.045,0.08,0.04,0.07,0.03,0.04,0.04
09:00,0.065,0.043,0.045,0.035,0.04,0.035,0.05,0.04
10:00,0.058,0.045,0.04,0.04,0.04,0.04,0.055,0.04
11:00,0.055,0.05,0.04,0.04,0.04,0.04,0.06,0.04
12:00,0.054,0.055,0.04,0.04,0.04,0.04,0.06,0.04
13:00,0.054,0.06,0.04,0.045,0.045,0.045,0.065,0.045
14:00,0.052,0.08,0.045,0.06,0.05,0.06,0.07,0.055
15:00,0.058,0.088,0.055,0.11,0.05,0.1,0.08,0.065
16:00,0.059,0.09,0.07,0.145,0.06,0.12,0.09,0.075
17:00,0.054,0.083,0.06,0.12,0.07,0.11,0.1,0.095
18:00,0.047,0.073,0.05,0.08,0.09,0.09,0.08,0.12
19:00,0.038,0.059,0.035,0.05,0.07,0.07,0.06,0.11
20:00,0.031,0.046,0.025,0.03,0.04,0.055,0.05,0.08
21:00,0.022,0.035,0.015,0.02,0.02,0.04,0.035,0.05
22:00,0.013,0.026,0.01,0.01,0.01,0.03,0.01,0.015
23:00,0.008,0.013,0.005,0.01,0.01,0.01,0.01,0.005
